C_eps_pF,epsilon,f_minus_MHz,f_plus_MHz,delta_f_MHz,delta_f_theory_MHz
100,0.015625,19.962661735156,30.803103521121177,10.840441785965176,2.7950849718747373
200,0.03125,19.65867599999181,29.885734522322903,10.227058522331092,3.9528470752104745
300,0.046875,19.337448077215562,29.14942581966392,9.81197774244836,4.841229182759271
400,0.0625,19.003502070021156,28.54934458037165,9.545842510350493,5.5901699437494745
500,0.078125,18.660913923849098,28.054546887497644,9.393632963648546,6.25
600,0.09375,18.313779174588053,27.64242398425186,9.328644809663807,6.846531968814577
700,0.109375,17.965981211213773,27.29596738420352,9.329986172989749,7.39509972887452
800,0.125,17.621026149370046,27.002176736795118,9.381150587425072,7.905694150420949
900,0.140625,17.281790889483137,26.75100369572812,9.469212806244983,8.385254915624213
1000,0.15625,16.950565672519364,26.534609292394894,9.58404361987553,8.838834764831844
1100,0.171875,16.628982128872202,26.346826889737116,9.717844760864914,9.270248108869579
1200,0.1875,16.318096249108738,26.182764730494625,9.864668481385888,9.682458365518542
1300,0.203125,16.018541668528044,26.03851467505098,10.019973006522935,10.077822185373186
1400,0.21875,15.73054397979531,25.910928589752764,10.180384609957454,10.458250331675945
1500,0.234375,15.45407879794156,25.79745515899161,10.34337636105005,10.825317547305485
1600,0.25,15.188936265204285,25.69600992491992,10.507073659715635,11.180339887498949
