C_eps_pF,epsilon,f_minus_MHz,f_plus_MHz,delta_f_MHz,delta_f_theory_MHz
100,0.015625,18.52132548097303,20.931812383367326,2.4104869023942967,2.7950849718747373
200,0.03125,17.769406047585257,21.383983751959086,3.614577704373829,3.9528470752104745
300,0.046875,17.190331030869118,21.6805279435913,4.490196912722183,4.841229182759271
400,0.0625,16.70307072076784,21.900538683474014,5.197467962706174,5.5901699437494745
500,0.078125,16.276010140307253,22.074350854032332,5.798340713725079,6.25
600,0.09375,15.892954197892134,22.217018128848903,6.324063930956768,6.846531968814577
700,0.109375,15.544207977521697,22.337199933139424,6.792991955617726,7.39509972887452
800,0.125,15.223358014529925,22.440380235710016,7.217022221180091,7.905694150420949
900,0.140625,14.925864627116303,22.53026271535004,7.604398088233738,8.385254915624213
1000,0.15625,14.648342824828113,22.6094767417621,7.9611339169339885,8.838834764831844
1100,0.171875,14.388197120195741,22.679956822714484,8.291759702518743,9.270248108869579
1200,0.1875,14.143327027597442,22.743171358810553,8.599844331213111,9.682458365518542
1300,0.203125,13.912085377334307,22.800253625622688,8.88816824828838,10.077822185373186
1400,0.21875,13.693033233210981,22.852105518628115,9.159072285417134,10.458250331675945
1500,0.234375,13.484997195629889,22.89945229744428,9.414455101814392,10.825317547305485
1600,0.25,13.28699104629965,22.94288317240416,9.655892126104508,11.180339887498949
