C_eps_pF,epsilon,dw_AWR,dw_analytical,pct_error
100,0.015625,0.12052434511971484,0.14320549046737,-15.838181394883847
200,0.03125,0.18072888521869146,0.2072890493972125,-12.813105301875243
300,0.046875,0.22450984563610915,0.25958199571618984,-13.511010262216455
400,0.0625,0.2598733981353087,0.30618621784789724,-15.125703579380298
500,0.078125,0.28991703568625393,0.34938562148434216,-17.020902447398893
600,0.09375,0.3162031965478384,0.3903123748998999,-18.987145455244058
700,0.109375,0.3396495977808863,0.42961647140211,-20.941206776268363
800,0.125,0.3608511110590046,0.46770717334674267,-22.846787130313807
900,0.140625,0.3802199044116869,0.5048592006688597,-24.687932019867155
1000,0.15625,0.39805669584669945,0.5412658773652742,-26.458195040056033
1100,0.171875,0.41458798512593714,0.5770682910193559,-28.156165989714527
1200,0.1875,0.42999221656065556,0.6123724356957945,-29.782565070538077
1300,0.203125,0.44440841241441903,0.6472598492877494,-31.34003091595283
1400,0.21875,0.4579536142708567,0.6817945071647321,-32.83113761428295
1500,0.234375,0.4707227550907196,0.71602745233685,-34.25911903873883
1600,0.25,0.4827946063052254,0.75,-35.627385825969945
