Co_pF,Peak_GHz,DeltaF_GHz
0.0,3.97,0.0
0.01,3.98,-0.009999999999999787
0.02,4.0,-0.029999999999999805
0.03,4.02,-0.04999999999999938
0.04,4.04,-0.06999999999999984
0.05,4.06,-0.08999999999999941
0.06,4.08,-0.10999999999999988
0.07,4.09,-0.11999999999999966
0.08,4.11,-0.14000000000000012
0.09,4.13,-0.1599999999999997
0.1,4.15,-0.18000000000000016
0.11,4.17,-0.19999999999999973
0.12,4.19,-0.2200000000000002
0.13,4.21,-0.23999999999999977
0.14,4.22,-0.24999999999999956
0.15,4.24,-0.27
0.16,4.25,-0.2799999999999998
0.17,4.27,-0.2999999999999994
0.18,4.29,-0.31999999999999984
0.19,4.3,-0.3299999999999996
0.2,4.32,-0.3500000000000001
0.21,4.33,-0.3599999999999999
0.22,4.35,-0.37999999999999945
0.23,4.36,-0.3900000000000001
0.24,4.37,-0.3999999999999999
0.25,4.39,-0.4199999999999995
0.26,4.4,-0.43000000000000016
0.27,4.41,-0.43999999999999995
0.28,4.42,-0.44999999999999973
0.29,4.43,-0.4599999999999995
0.3,4.44,-0.4700000000000002
0.31,4.46,-0.48999999999999977
0.32,4.47,-0.49999999999999956
0.33,4.48,-0.5100000000000002
0.34,4.48,-0.5100000000000002
0.35,4.49,-0.52
0.36,4.5,-0.5299999999999998
0.37,4.51,-0.5399999999999996
0.38,4.52,-0.5499999999999994
0.39,4.53,-0.56
0.4,4.54,-0.5699999999999998
0.41,4.54,-0.5699999999999998
0.42,4.55,-0.5799999999999996
0.43,4.56,-0.5899999999999994
0.44,4.57,-0.6000000000000001
0.45,4.57,-0.6000000000000001
0.46,4.58,-0.6099999999999999
0.47,4.59,-0.6199999999999997
0.48,4.59,-0.6199999999999997
0.49,4.6,-0.6299999999999994
0.5,4.6,-0.6299999999999994
0.51,4.61,-0.6400000000000001
0.52,4.61,-0.6400000000000001
0.53,4.62,-0.6499999999999999
0.54,4.62,-0.6499999999999999
0.55,4.63,-0.6599999999999997
0.56,4.63,-0.6599999999999997
0.57,4.64,-0.6699999999999995
0.58,4.64,-0.6699999999999995
0.59,4.65,-0.6800000000000002
0.6,4.65,-0.6800000000000002
0.61,4.66,-0.69
0.62,4.66,-0.69
0.63,4.67,-0.6999999999999997
0.64,4.67,-0.6999999999999997
0.65,4.67,-0.6999999999999997
0.66,4.68,-0.7099999999999995
0.67,4.68,-0.7099999999999995
0.68,4.68,-0.7099999999999995
0.69,4.69,-0.7200000000000002
0.7,4.69,-0.7200000000000002
0.71,4.69,-0.7200000000000002
0.72,4.7,-0.73
0.73,4.7,-0.73
0.74,4.7,-0.73
0.75,4.71,-0.7399999999999998
0.76,4.71,-0.7399999999999998
0.77,4.71,-0.7399999999999998
0.78,4.71,-0.7399999999999998
0.79,4.72,-0.7499999999999996
0.8,4.72,-0.7499999999999996
0.81,4.72,-0.7499999999999996
0.82,4.72,-0.7499999999999996
0.83,4.73,-0.7600000000000002
0.84,4.73,-0.7600000000000002
0.85,4.73,-0.7600000000000002
0.86,4.73,-0.7600000000000002
0.87,4.74,-0.77
0.88,4.74,-0.77
0.89,4.74,-0.77
0.9,4.74,-0.77
0.91,4.74,-0.77
0.92,4.75,-0.7799999999999998
0.93,4.75,-0.7799999999999998
0.94,4.75,-0.7799999999999998
0.95,4.75,-0.7799999999999998
0.96,4.75,-0.7799999999999998
0.97,4.75,-0.7799999999999998
0.98,4.76,-0.7899999999999996
0.99,4.76,-0.7899999999999996
1.0,4.76,-0.7899999999999996
