Co_pF,Peak1_GHz,Peak2_GHz,deltaF_current_GHz,DeltaF_GHz
0.0,4.42,4.8,0.3799999999999999,0.0
0.01,4.39,4.8,0.41000000000000014,-0.03000000000000025
0.02,4.35,4.8,0.4500000000000002,-0.07000000000000028
0.03,4.32,4.8,0.47999999999999954,-0.09999999999999964
0.04,4.29,4.8,0.5099999999999998,-0.1299999999999999
0.05,4.26,4.8,0.54,-0.16000000000000014
0.06,4.23,4.8,0.5699999999999994,-0.1899999999999995
0.07,4.2,4.8,0.5999999999999996,-0.21999999999999975
0.08,4.17,4.8,0.6299999999999999,-0.25
0.09,4.14,4.8,0.6600000000000001,-0.28000000000000025
0.1,4.11,4.8,0.6899999999999995,-0.3099999999999996
0.11,4.08,4.8,0.7199999999999998,-0.33999999999999986
0.12,4.06,4.8,0.7400000000000002,-0.3600000000000003
0.13,4.03,4.8,0.7699999999999996,-0.3899999999999997
0.14,4.01,4.8,0.79,-0.41000000000000014
0.15,3.98,4.8,0.8199999999999998,-0.43999999999999995
0.16,3.96,4.8,0.8399999999999999,-0.45999999999999996
0.17,3.93,4.8,0.8699999999999997,-0.48999999999999977
0.18,3.91,4.8,0.8899999999999997,-0.5099999999999998
0.19,3.89,4.8,0.9099999999999997,-0.5299999999999998
0.2,3.86,4.8,0.94,-0.56
0.21,3.84,4.8,0.96,-0.5800000000000001
0.22,3.82,4.8,0.98,-0.6000000000000001
0.23,3.8,4.8,1.0,-0.6200000000000001
0.24,3.77,4.8,1.0299999999999998,-0.6499999999999999
0.25,3.75,4.8,1.0499999999999998,-0.6699999999999999
0.26,3.73,4.8,1.0699999999999998,-0.69
0.27,3.71,4.8,1.0899999999999999,-0.71
0.28,3.69,4.8,1.1099999999999999,-0.73
0.29,3.67,4.8,1.13,-0.75
0.3,3.65,4.8,1.15,-0.77
0.31,3.63,4.8,1.17,-0.79
0.32,3.61,4.8,1.19,-0.81
0.33,3.6,4.8,1.1999999999999997,-0.8199999999999998
0.34,3.58,4.8,1.2199999999999998,-0.8399999999999999
0.35,3.56,4.8,1.2399999999999998,-0.8599999999999999
0.36,3.54,4.8,1.2599999999999998,-0.8799999999999999
0.37,3.52,4.8,1.2799999999999998,-0.8999999999999999
0.38,3.51,4.8,1.29,-0.9100000000000001
0.39,3.49,4.8,1.3099999999999996,-0.9299999999999997
0.4,3.47,4.8,1.3299999999999996,-0.9499999999999997
0.41,3.46,4.8,1.3399999999999999,-0.96
0.42,3.44,4.8,1.3599999999999999,-0.98
0.43,3.43,4.8,1.3699999999999997,-0.9899999999999998
0.44,3.41,4.8,1.3899999999999997,-1.0099999999999998
0.45,3.39,4.8,1.4099999999999997,-1.0299999999999998
0.46,3.38,4.8,1.42,-1.04
0.47,3.36,4.8,1.44,-1.06
0.48,3.35,4.8,1.4499999999999997,-1.0699999999999998
0.49,3.33,4.8,1.4699999999999998,-1.0899999999999999
0.5,3.32,4.8,1.48,-1.1
0.51,3.31,4.8,1.4899999999999998,-1.1099999999999999
0.52,3.29,4.8,1.5099999999999998,-1.13
0.53,3.28,4.8,1.52,-1.1400000000000001
0.54,3.26,4.8,1.54,-1.1600000000000001
0.55,3.25,4.8,1.5499999999999998,-1.17
0.56,3.24,4.8,1.5599999999999996,-1.1799999999999997
0.57,3.22,4.8,1.5799999999999996,-1.1999999999999997
0.58,3.21,4.8,1.5899999999999999,-1.21
0.59,3.2,4.8,1.5999999999999996,-1.2199999999999998
0.6,3.18,4.8,1.6199999999999997,-1.2399999999999998
0.61,3.17,4.8,1.63,-1.25
0.62,3.16,4.8,1.6399999999999997,-1.2599999999999998
0.63,3.15,4.8,1.65,-1.27
0.64,3.13,4.8,1.67,-1.29
0.65,3.12,4.8,1.6799999999999997,-1.2999999999999998
0.66,3.11,4.8,1.69,-1.31
0.67,3.1,4.8,1.6999999999999997,-1.3199999999999998
0.68,3.09,4.8,1.71,-1.33
0.69,3.07,4.8,1.73,-1.35
0.7,3.06,4.8,1.7399999999999998,-1.3599999999999999
0.71,3.05,4.8,1.75,-1.37
0.72,3.04,4.8,1.7599999999999998,-1.38
0.73,3.03,4.8,1.77,-1.3900000000000001
0.74,3.02,4.8,1.7799999999999998,-1.4
0.75,3.01,4.8,1.79,-1.4100000000000001
0.76,3.0,4.8,1.7999999999999998,-1.42
0.77,2.99,4.8,1.8099999999999996,-1.4299999999999997
0.78,2.98,4.8,1.8199999999999998,-1.44
0.79,2.97,4.8,1.8299999999999996,-1.4499999999999997
0.8,2.96,4.8,1.8399999999999999,-1.46
0.81,2.95,4.8,1.8499999999999996,-1.4699999999999998
0.82,2.94,4.8,1.8599999999999999,-1.48
0.83,2.93,4.8,1.8699999999999997,-1.4899999999999998
0.84,2.92,4.8,1.88,-1.5
0.85,2.91,4.8,1.8899999999999997,-1.5099999999999998
0.86,2.9,4.8,1.9,-1.52
0.87,2.89,4.8,1.9099999999999997,-1.5299999999999998
0.88,2.88,4.8,1.92,-1.54
0.89,2.87,4.8,1.9299999999999997,-1.5499999999999998
0.9,2.86,4.8,1.94,-1.56
0.91,2.85,4.8,1.9499999999999997,-1.5699999999999998
0.92,2.84,4.8,1.96,-1.58
0.93,2.83,4.8,1.9699999999999998,-1.5899999999999999
0.94,2.82,4.8,1.98,-1.6
0.95,2.81,4.8,1.9899999999999998,-1.6099999999999999
0.96,2.81,4.8,1.9899999999999998,-1.6099999999999999
0.97,2.8,4.8,2.0,-1.62
0.98,2.79,4.8,2.01,-1.63
0.99,2.78,4.8,2.02,-1.6400000000000001
1.0,2.77,4.8,2.03,-1.65
