Co_pF,Peak1_GHz,Peak2_GHz,deltaF_current_GHz,DeltaF_GHz
0.01,,,,
0.02,,,,
0.03,,,,
0.04,,,,
0.05,4.6,4.8,0.20000000000000018,0.0
0.06,4.56,4.8,0.2400000000000002,-0.040000000000000036
0.07,4.53,4.8,0.2699999999999996,-0.0699999999999994
0.08,4.49,4.8,0.3099999999999996,-0.10999999999999943
0.09,4.45,4.8,0.34999999999999964,-0.14999999999999947
0.1,4.42,4.8,0.3799999999999999,-0.17999999999999972
0.11,4.39,4.8,0.41000000000000014,-0.20999999999999996
0.12,4.35,4.8,0.4500000000000002,-0.25
0.13,4.32,4.8,0.47999999999999954,-0.27999999999999936
0.14,4.29,4.8,0.5099999999999998,-0.3099999999999996
0.15,4.26,4.8,0.54,-0.33999999999999986
0.16,4.23,4.8,0.5699999999999994,-0.3699999999999992
0.17,4.2,4.8,0.5999999999999996,-0.39999999999999947
0.18,4.17,4.8,0.6299999999999999,-0.4299999999999997
0.19,4.14,4.8,0.6600000000000001,-0.45999999999999996
0.2,4.11,4.8,0.6899999999999995,-0.4899999999999993
0.21,4.08,4.8,0.7199999999999998,-0.5199999999999996
0.22,4.06,4.8,0.7400000000000002,-0.54
0.23,4.03,4.8,0.7699999999999996,-0.5699999999999994
0.24,4.01,4.8,0.79,-0.5899999999999999
0.25,3.98,4.8,0.8199999999999998,-0.6199999999999997
0.26,3.96,4.8,0.8399999999999999,-0.6399999999999997
0.27,3.93,4.8,0.8699999999999997,-0.6699999999999995
0.28,3.91,4.8,0.8899999999999997,-0.6899999999999995
0.29,3.89,4.8,0.9099999999999997,-0.7099999999999995
0.3,3.86,4.8,0.94,-0.7399999999999998
0.31,3.84,4.8,0.96,-0.7599999999999998
0.32,3.82,4.8,0.98,-0.7799999999999998
0.33,3.8,4.8,1.0,-0.7999999999999998
0.34,3.77,4.8,1.0299999999999998,-0.8299999999999996
0.35,3.75,4.8,1.0499999999999998,-0.8499999999999996
0.36,3.73,4.8,1.0699999999999998,-0.8699999999999997
0.37,3.71,4.8,1.0899999999999999,-0.8899999999999997
0.38,3.69,4.8,1.1099999999999999,-0.9099999999999997
0.39,3.67,4.8,1.13,-0.9299999999999997
0.4,3.65,4.8,1.15,-0.9499999999999997
0.41,3.63,4.8,1.17,-0.9699999999999998
0.42,3.61,4.8,1.19,-0.9899999999999998
0.43,3.6,4.8,1.1999999999999997,-0.9999999999999996
0.44,3.58,4.8,1.2199999999999998,-1.0199999999999996
0.45,3.56,4.8,1.2399999999999998,-1.0399999999999996
0.46,3.54,4.8,1.2599999999999998,-1.0599999999999996
0.47,3.52,4.8,1.2799999999999998,-1.0799999999999996
0.48,3.51,4.8,1.29,-1.0899999999999999
0.49,3.49,4.8,1.3099999999999996,-1.1099999999999994
0.5,3.47,4.8,1.3299999999999996,-1.1299999999999994
0.51,3.46,4.8,1.3399999999999999,-1.1399999999999997
0.52,3.44,4.8,1.3599999999999999,-1.1599999999999997
0.53,3.43,4.8,1.3699999999999997,-1.1699999999999995
0.54,3.41,4.8,1.3899999999999997,-1.1899999999999995
